F S   UID    PID   PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S  1000   6071   5831  0  80   0 - 290624029 futex_ tty2 00:00:01 chrome
1 S  1000   6205   5831  0  80   0 - 290629543 futex_ tty2 00:00:13 chrome
1 S  1000   6224   5831  0  80   0 - 291681781 futex_ tty2 00:00:05 chrome
1 S  1000   6225   5831  0  80   0 - 290627700 futex_ tty2 00:00:24 chrome
1 S  1000   6276   5831  0  80   0 - 290627492 futex_ tty2 00:00:19 chrome
1 S  1000   6281   5831  0  80   0 - 290634311 futex_ tty2 00:00:01 chrome
1 S  1000   6334   5831  0  80   0 - 290633593 futex_ tty2 00:01:33 chrome
1 S  1000   6378   5831  0  80   0 - 290630053 futex_ tty2 00:00:15 chrome
1 S  1000   6460   5831  0  80   0 - 292732226 futex_ tty2 00:00:42 chrome
1 S  1000   6473   5831  0  80   0 - 290633665 futex_ tty2 00:01:45 chrome
1 S  1000   6524   5831  0  80   0 - 290625370 futex_ tty2 00:00:02 chrome
1 S  1000   6594   5831  0  80   0 - 290624064 futex_ tty2 00:00:01 chrome
1 S  1000   6633   5831  0  80   0 - 290626286 futex_ tty2 00:00:06 chrome
1 S  1000   6656   5831  0  80   0 - 290625353 futex_ tty2 00:00:04 chrome
1 S  1000   6708   5831  0  80   0 - 290627492 futex_ tty2 00:00:10 chrome
1 S  1000   6734   5831  0  80   0 - 290627492 futex_ tty2 00:00:08 chrome
0 S  1000   9959   5809  0  80   0 - 4386002 futex_ tty2   00:02:52 chrome
1 S  1000  11534   5831  0  80   0 - 290630374 futex_ tty2 00:00:13 chrome
1 S  1000  11786   5831  0  80   0 - 290627776 futex_ tty2 00:00:12 chrome
1 S  1000  12113   5831  0  80   0 - 293795310 futex_ tty2 00:26:05 chrome
1 S  1000  12273   5831  0  80   0 - 290628424 futex_ tty2 00:00:16 chrome
0 S  1000  15600   3225  0  80   0 -  6336 wait   pts/3    00:00:00 bash
1 S  1000  16765   5831  0  80   0 - 290627153 futex_ tty2 00:00:10 chrome
1 S  1000  17127   5831  0  80   0 - 290628832 futex_ tty2 00:00:07 chrome
1 S  1000  17202   5831  0  80   0 - 290627896 futex_ tty2 00:00:12 chrome
1 S  1000  17284   5831  0  80   0 - 290630952 futex_ tty2 00:00:38 chrome
1 S  1000  17302   5831  0  80   0 - 290629442 futex_ tty2 00:00:10 chrome
1 S  1000  19914   5831  0  80   0 - 290650141 futex_ tty2 00:23:20 chrome
0 S  1000  20021   2649  0  80   0 - 50926 pipe_w ?        00:00:00 oosplash
0 S  1000  20072  20021  0  80   0 - 996692 poll_s ?       00:11:21 soffice.bin
1 S  1000  23973   5831  0  80   0 - 290628727 futex_ tty2 00:00:15 chrome
1 S  1000  24080   5831  0  80   0 - 290628426 futex_ tty2 00:00:25 chrome
1 S  1000  25414   5831  0  80   0 - 290637917 futex_ tty2 00:01:52 chrome
1 S  1000  26234   5831  0  80   0 - 290627818 futex_ tty2 00:00:02 chrome
1 S  1000  29057   5831  0  80   0 - 290630090 futex_ tty2 00:00:07 chrome
1 S  1000  29124   5831  0  80   0 - 290633956 futex_ tty2 00:02:24 chrome
1 S  1000  29138   5831  0  80   0 - 290624066 futex_ tty2 00:00:02 chrome
1 S  1000  29170   5831  0  80   0 - 290624066 futex_ tty2 00:00:03 chrome
1 S  1000  29422   5831  0  80   0 - 290633956 futex_ tty2 00:00:23 chrome
1 S  1000  30267   5831  0  80   0 - 290630089 futex_ tty2 00:00:05 chrome
1 S  1000  30406   5831  0  80   0 - 290627423 futex_ tty2 00:00:07 chrome
1 S  1000  30938   5831  0  80   0 - 290631177 futex_ tty2 00:00:02 chrome
1 S  1000  31738   5831  0  80   0 - 290632223 futex_ tty2 00:00:08 chrome
1 S  1000  31815   5831  0  80   0 - 290627006 futex_ tty2 00:00:38 chrome
1 S  1000  31829   5831  0  80   0 - 290624072 futex_ tty2 00:00:02 chrome
1 S  1000  31847   5831  0  80   0 - 290625326 futex_ tty2 00:00:08 chrome
1 S  1000  31868   5831  0  80   0 - 290626634 futex_ tty2 00:00:04 chrome
1 S  1000  31890   5831  0  80   0 - 290629096 futex_ tty2 00:00:22 chrome
1 S  1000  31915   5831  0  80   0 - 290624066 futex_ tty2 00:00:01 chrome
1 S  1000  31935   5831  0  80   0 - 290626121 futex_ tty2 00:00:03 chrome
1 S  1000  31952   5831  0  80   0 - 290624071 futex_ tty2 00:00:02 chrome
1 S  1000  31953   5831  0  80   0 - 290624071 futex_ tty2 00:00:03 chrome
1 S  1000  31958   5831  0  80   0 - 290624071 futex_ tty2 00:00:02 chrome
1 S  1000  31987   5831  0  80   0 - 290626121 futex_ tty2 00:00:02 chrome
1 S  1000  32010   5831  0  80   0 - 290626115 futex_ tty2 00:00:02 chrome
1 S  1000  32038   5831  0  80   0 - 290624064 futex_ tty2 00:00:02 chrome
1 S  1000  32039   5831  0  80   0 - 290626113 futex_ tty2 00:00:03 chrome
1 S  1000  32061   5831  0  80   0 - 290624064 futex_ tty2 00:00:02 chrome
1 S  1000  32077   5831  0  80   0 - 290624064 futex_ tty2 00:00:01 chrome
1 S  1000  32114   5831  0  80   0 - 290624064 futex_ tty2 00:00:02 chrome
1 S  1000  32130   5831  0  80   0 - 290624064 futex_ tty2 00:00:02 chrome
1 S  1000  32149   5831  0  80   0 - 290626113 futex_ tty2 00:00:02 chrome
1 S  1000  32152   5831  0  80   0 - 290624064 futex_ tty2 00:00:01 chrome
1 S  1000  32174   5831  0  80   0 - 290624064 futex_ tty2 00:00:02 chrome
1 S  1000  32468   5831  0  80   0 - 290627754 futex_ tty2 00:00:03 chrome
1 S  1000  33816   5831  0  80   0 - 290628100 futex_ tty2 00:00:16 chrome
1 S  1000  33858   5831  0  80   0 - 290624066 futex_ tty2 00:00:01 chrome
1 S  1000  33907   5831  0  80   0 - 290624066 futex_ tty2 00:00:01 chrome
1 S  1000  33953   5831  0  80   0 - 290626115 futex_ tty2 00:00:01 chrome
1 S  1000  34231   5831  0  80   0 - 290628310 futex_ tty2 00:00:15 chrome
1 S  1000  34957   5831  0  80   0 - 290630823 futex_ tty2 00:00:13 chrome
1 S  1000  35061   5831  0  80   0 - 290628453 futex_ tty2 00:00:03 chrome
1 S  1000  35131   5831  0  80   0 - 290626030 futex_ tty2 00:00:10 chrome
1 S  1000  35231   5831  0  80   0 - 290627932 futex_ tty2 00:00:03 chrome
1 S  1000  35276   5831  0  80   0 - 290628065 futex_ tty2 00:00:01 chrome
1 S  1000  53214   5831  0  80   0 - 290627960 futex_ tty2 00:00:06 chrome
1 S  1000  53413   5831  0  80   0 - 290627702 futex_ tty2 00:00:10 chrome
1 S  1000  53933   5831  0  80   0 - 290633462 futex_ tty2 00:00:08 chrome
1 S  1000  53956   5831  0  80   0 - 290624066 futex_ tty2 00:00:01 chrome
1 S  1000  54333   5831  0  80   0 - 290636997 futex_ tty2 00:00:02 chrome
1 S  1000  54549   5831  0  80   0 - 290630089 futex_ tty2 00:00:06 chrome
1 S  1000  55554   5831  0  80   0 - 290627480 futex_ tty2 00:00:01 chrome
1 S  1000  55785   5831  0  80   0 - 290627675 futex_ tty2 00:00:03 chrome
1 S  1000  56313   5831  0  80   0 - 290631740 futex_ tty2 00:00:06 chrome
1 S  1000  56366   5831  0  80   0 - 290626258 futex_ tty2 00:00:01 chrome
1 S  1000  56387   5831  0  80   0 - 290626117 futex_ tty2 00:00:02 chrome
1 S  1000  56400   5831  0  80   0 - 290626115 futex_ tty2 00:00:01 chrome
1 S  1000  56413   5831  0  80   0 - 290626422 futex_ tty2 00:00:01 chrome
1 S  1000  56418   5831  0  80   0 - 290626404 futex_ tty2 00:00:01 chrome
1 S  1000  59775   5831  0  80   0 - 290629719 futex_ tty2 00:00:07 chrome
1 S  1000  64929   5831  0  80   0 - 290633200 futex_ tty2 00:00:05 chrome
1 S  1000  64954   5831  0  80   0 - 290626241 futex_ tty2 00:00:01 chrome
4 S  1000  77093  15600  0  80   0 - 681887 poll_s pts/3   00:03:45 rstudio
0 S  1000  77176  77093  0  80   0 - 446499 futex_ pts/3   00:03:37 rsession
4 S  1000  77179  77093  0  80   0 - 82850 wait   pts/3    00:00:00 QtWebEngineProc
5 S  1000  77202  77179  0  80   0 - 82850 poll_s pts/3    00:00:00 QtWebEngineProc
1 S  1000  77224  77202  0  80   0 - 663875 futex_ pts/3   00:15:33 QtWebEngineProc
0 S  1000  79418   2649  1  80   0 - 244391 poll_s ?       00:02:31 nautilus
1 S  1000  80189   5831  0  80   0 - 291686621 futex_ tty2 00:01:02 chrome
0 S  1000  81620   4261  0  80   0 -  3547 wait   pts/2    00:00:00 bash
0 R  1000  81621  81620 38  80   0 - 1549279 -    pts/2    01:10:15 python
1 S  1000  83879   5831  0  80   0 - 290628832 futex_ tty2 00:00:28 chrome
1 S  1000  84246   5831  0  80   0 - 290629212 futex_ tty2 00:00:10 chrome
1 S  1000  84317   5831  0  80   0 - 290624066 futex_ tty2 00:00:00 chrome
1 S  1000  84346   5831  0  80   0 - 290627900 futex_ tty2 00:00:04 chrome
1 S  1000  84460   5831  0  80   0 - 290628508 futex_ tty2 00:00:03 chrome
1 S  1000  88833   5831  0  80   0 - 290627889 futex_ tty2 00:00:05 chrome
1 S  1000  88855   5831  0  80   0 - 290624067 futex_ tty2 00:00:00 chrome
1 S  1000  89233   5831  0  80   0 - 290627898 futex_ tty2 00:00:03 chrome
1 S  1000  89369   5831  0  80   0 - 290627900 futex_ tty2 00:00:03 chrome
1 S  1000  89412   5831  0  80   0 - 290627662 futex_ tty2 00:00:09 chrome
1 S  1000  89433   5831  0  80   0 - 290624028 futex_ tty2 00:00:00 chrome
1 S  1000  89464   5831  0  80   0 - 290629443 futex_ tty2 00:00:16 chrome
1 S  1000  90992   5831  0  80   0 - 290628220 futex_ tty2 00:00:04 chrome
1 S  1000  91254   5831  1  80   0 - 292729226 futex_ tty2 00:00:45 chrome
1 S  1000  91300   5831  0  80   0 - 290624066 futex_ tty2 00:00:00 chrome
1 S  1000  91349   5831  0  80   0 - 290626815 futex_ tty2 00:00:09 chrome
1 S  1000  91485   2649  0  80   0 - 132383 poll_s ?       00:00:00 gvim
1 S  1000  97231   5831  0  80   0 - 290627751 futex_ tty2 00:00:02 chrome
1 S  1000  97314   5831  0  80   0 - 290627895 futex_ tty2 00:00:02 chrome
1 S  1000  97732   5831  0  80   0 - 290627896 futex_ tty2 00:00:09 chrome
1 S  1000  97788   5831  0  80   0 - 290627739 futex_ tty2 00:00:05 chrome
1 S  1000  98071   5831  0  80   0 - 290632878 futex_ tty2 00:00:02 chrome
0 S  1000  98527   3225  0  80   0 -  6100 wait   pts/4    00:00:00 bash
0 S  1000  98618  98527  0  80   0 - 12359 poll_s pts/4    00:00:00 ssh
4 S  1000  99010   4234  0  80   0 -  4423 -      pts/1    00:00:00 ping
1 S  1000  99079   5831  2  80   0 - 290626551 futex_ tty2 00:00:07 chrome
1 S  1000  99165   5831  1  80   0 - 290628789 futex_ tty2 00:00:02 chrome
1 S  1000  99261   5831  1  80   0 - 290630327 futex_ tty2 00:00:02 chrome
1 S  1000  99346   5831  3  80   0 - 290654138 futex_ tty2 00:00:05 chrome
1 S  1000  99425   5831  0  80   0 - 290624066 futex_ tty2 00:00:00 chrome
1 S  1000  99453   5831  0  80   0 - 290624066 futex_ tty2 00:00:00 chrome
1 S  1000  99469   5831  0  80   0 - 290624066 futex_ tty2 00:00:00 chrome
1 S  1000  99474   5831  0  80   0 - 290624028 futex_ tty2 00:00:00 chrome
0 S  1000  99554   2649  0  80   0 - 12359 wait_w ?        00:00:00 ssh
4 R  1000  99582  15600  0  80   0 -  9668 -      pts/3    00:00:00 ps
1 S  1000 106621   5831  0  80   0 - 290626859 futex_ tty2 00:00:01 chrome
1 S  1000 107347   5831  0  80   0 - 290628125 futex_ tty2 00:00:07 chrome
1 S  1000 107361   5831  0  80   0 - 290635340 futex_ tty2 00:01:01 chrome
1 S  1000 128049   5831  0  80   0 - 290628266 futex_ tty2 00:00:08 chrome
1 S  1000 128398   5831  0  80   0 - 290628462 futex_ tty2 00:01:09 chrome
